name,restaurant_url,title,text,rating
Manufactur,https://www.tripadvisor.com/Restaurant_Review-g187412-d8410818-Reviews-Manufactur-Kiel_Schleswig_Holstein.html,Best in Kiel,"The absolutely best restaurant in the town of Kiel! Nice decor, good space, super charming back-yard, with possibility to dine outdoor, great service, fresh food - I can really recomand their fish, absolutely delicious - not to mention the coffie (with the best milk-cream), and the very friendly staff. 

Next time we are in Kiel we'll be back!",5.0
Manufactur,https://www.tripadvisor.com/Restaurant_Review-g187412-d8410818-Reviews-Manufactur-Kiel_Schleswig_Holstein.html,"Simply, tasty and very good",Tasty and high quality food! A “healthier”way to propose comfort food. The guys are kind and helpful. Bear in mind: cash only payment so far,5.0
Manufactur,https://www.tripadvisor.com/Restaurant_Review-g187412-d8410818-Reviews-Manufactur-Kiel_Schleswig_Holstein.html,Delicious fast food!,The food was more than we asked for and we where happily surprised by the food in the small restaurant. The food was very affordable for a family and tasted delicious! It was also fast and friendly service!,5.0
Manufactur,https://www.tripadvisor.com/Restaurant_Review-g187412-d8410818-Reviews-Manufactur-Kiel_Schleswig_Holstein.html,Manufactur,They have some amazing service amzing food and very nice People quite easy to understand menu. Its quite a cool place and an amazing burger.,5.0
Manufactur,https://www.tripadvisor.com/Restaurant_Review-g187412-d8410818-Reviews-Manufactur-Kiel_Schleswig_Holstein.html,clear but appealing menu: you will find what you need!,"Manufaktur is really a nice small self service restaurant with appealing dishes (although they also sell ""curry wurst""). We have been there only once, but we believe to come again because we would like to taste other dishes from their card. The staff is very friendly and prices are moderate. So it was an easy decision to go there!",5.0
Manufactur,https://www.tripadvisor.com/Restaurant_Review-g187412-d8410818-Reviews-Manufactur-Kiel_Schleswig_Holstein.html,Great fresh food and place.,Great fresh food and place. It was my first time here but I can definitely recommend. Also the minimalist interior is amazing.,5.0
Manufactur,https://www.tripadvisor.com/Restaurant_Review-g187412-d8410818-Reviews-Manufactur-Kiel_Schleswig_Holstein.html,Healthy and tasty,"A very fresh, fast and healthy food restaurant, a great concept. Around 10 tables, outdoors only. The food looks like it does on the pictures! (Delicious) Does not accept cards, only cash. Only negative is the location which is just next to a quite busy road. Some sort of noise protection would have been great 🙃",5.0
Manufactur,https://www.tripadvisor.com/Restaurant_Review-g187412-d8410818-Reviews-Manufactur-Kiel_Schleswig_Holstein.html,Absolutely amazing!,We came here based on the great tripadvisor ratings and can only add a positive note to that! It looks a bit like a fast food stop from distance but it really isn’t. We sat outside in the tent (with a heater) and enjoyed the delicious home made food (we went for the pasta with chicken and salad)! We will definitely come again! :),5.0
Manufactur,https://www.tripadvisor.com/Restaurant_Review-g187412-d8410818-Reviews-Manufactur-Kiel_Schleswig_Holstein.html,A different kind of fast-food,"Although one expects rather something different, quick and simple, when one sees the location, it is really a very special place and food! Super tasty, the menu changes every week, always fresh and in a great combination of self-made sauces and vegetable side-dishes. The prices are not that cheap, but definitely worth it!!!",5.0
BLOCK HOUSE Kiel,https://www.tripadvisor.com/Restaurant_Review-g187412-d1039400-Reviews-BLOCK_HOUSE_Kiel-Kiel_Schleswig_Holstein.html,Perfect,"It was incredible. The service was great, they gave a present to our child. The salad was fresh. Steak was perfect. High recommend",5.0
